,source,review,rating,review_title,thumbs_up,date,developerResponse,developerResponse_date,appVersion
0,Google Play,What happened.. can't get in to the wildrift.,1,,1,02/11/2023 14:36,Please reach out to us with a ticket at https://support-wildrift.riotgames.com/ and we can figure out what happened!,03/11/2023 16:07,4.3.0.6993
1,Google Play,Tangina Naka dalawang update na ako d padin mabuksan,1,,1,25/10/2023 10:33,,,4.3.0.6993
2,Google Play,subrang tagsl ng update,5,,2,20/10/2023 6:42,,,4.3.0.6993
3,Google Play,Fix the game can't play. Stock download,1,,5,08/10/2023 13:38,,,4.3.0.6993
4,Google Play,Parang mobile legends:),5,,0,08/09/2023 13:09,,,
5,Google Play,Weird ml players,5,,0,26/08/2023 6:36,,,
6,Google Play,Add Show Ping System ADD Guinsoo Rage Blade Also Heartsteel,5,,0,08/08/2023 6:52,,,4.1.0.6547
7,Google Play,Sana mawabasan yung lag,5,,0,04/08/2023 3:47,,,
8,Google Play,Da best game so refreshing when i unstall it.,3,,13,23/06/2023 15:30,,,4.2.0.6757
9,Google Play,Nc update,5,,13,17/06/2023 9:36,,,4.2.0.6757
10,Google Play,Release Yorick And Mordekaiser Please,5,,11,08/06/2023 13:13,,,4.2.0.6757
11,Google Play,5 STAR BECAUSE OF THE SHET,5,,0,05/06/2023 1:14,,,
12,Google Play,Andami kong ginastos na load tapos ayaw ma-download resources bobo ng gumawa neto,1,,0,28/05/2023 3:18,,,
13,Google Play,Ilove this game when I'm 6,5,,0,19/05/2023 16:11,,,
14,Google Play,Too many ML players,3,,4,30/04/2023 9:13,,,4.1.0.6547
15,Google Play,Kalakas lakas ng connection ayaw mag update ng maayo paki fix 😔 bweset na community na wr nato bakit nyo binanned account ko dito cheating are you sure?? Wala nga maayos na connection cheating pa kaya paki fix naman at mag imbistigate ng maayos nakaka bwiset ang ayos ayos ko mag laro binura ko ml ko dahil dito mag pa load ako ng 100 para dito para sa updating then ma banned ng walang maayos na dahilan totoo nga bulok na wr di ako naniniwala but dahil dito dahil wala sa maayos na pamantayan Fix,1,,15,29/03/2023 0:35,,,4.1.0.6547
16,Google Play,This app is repeated install after i install install again or download again why happened this app?,1,,0,22/03/2023 0:47,,,
17,Google Play,Good game,5,,0,11/03/2023 5:17,,,
18,Google Play,😡😡😡😡😡😡😡😡😡😡😡😡😡,1,,0,05/03/2023 23:51,,,
19,Google Play,Good,5,,0,04/03/2023 17:43,,,1.0.0.3386
20,Google Play,Gusto ko TOH larong ito,5,,2,21/02/2023 22:51,,,4.0.0.6270
21,Google Play,Tong laro na to hindi nakaka enjoy stress lang bibigay nito sa inyo,3,,8,24/01/2023 15:04,,,4.0.0.6270
22,Google Play,Beautiful game,5,,3,18/01/2023 2:10,,,4.0.0.6270
23,Google Play,😀😀😀,5,,0,18/01/2023 0:26,,,
24,Google Play,"I hope our game is good, but your graphics are ugly. Please riot game, even if it's only the highest on a cellphone that's 32gb, oppo,Please riot even if it's only the highest graphics on the cellphone that's 32gb so it's nice to play🥺❤️",4,,0,15/01/2023 12:55,,,
25,Google Play,Tgal naman. Mag install grabi,5,,0,10/01/2023 8:00,,,
26,Google Play,Nakakabwisit puro update pota,1,,0,05/01/2023 11:37,,,
27,Google Play,I deleted it because the player is stupid I always end up playing stupid instead of playing happily it gives me stress I don't enjoy the game anymore so I don't play it anymore,1,,2,02/01/2023 8:08,,,3.5.0.6093
28,Google Play,This game is so very impressive,4,,0,04/12/2022 13:10,,,
29,Google Play,Bat ganun parang ang lag tas di na gumagana nag back pa,1,,0,23/11/2022 5:06,,,
30,Google Play,Sobrang ganda kahit matagal sulit talaga ang laro,5,,0,06/11/2022 0:39,,,
31,Google Play,Magandang laro ito,5,,0,04/11/2022 8:14,,,
32,Google Play,favorite ko dati itong wildrift kaso d ko na mabuksandati kong account.d Nadine gumagana SA phone ko,2,,0,18/10/2022 14:42,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,19/10/2022 16:08,3.1.0.5408
33,Google Play,gud game,5,,0,03/10/2022 3:52,,,
34,Google Play,😭🙄🤙🏻,1,,0,01/10/2022 5:59,,,
35,Google Play,Can't update the game!!,1,,0,10/09/2022 12:09,,,3.0.0.5295
36,Google Play,Bat ganun matagal taas pa ng *GB 1.31 talaga🙁,5,,9,07/09/2022 1:31,,,3.3.0.5735
37,Google Play,Heplful,5,,1,06/09/2022 20:36,,,3.1.0.5408
38,Google Play,Maganda sya kaso matagal pero ok lng po hahaha,5,,6,29/08/2022 7:45,,,3.3.0.5735
